,Mkt-RF,SMB,HML,RF,WML
1940-12-01,0.0069,-0.0212,-0.0089,0.0,0.0354
1941-01-01,-0.0418,0.0098,0.0383,-0.0001,-0.0475
1941-02-01,-0.0143,-0.015600000000000001,0.0089,-0.0001,0.010700000000000001
1941-03-01,0.0084,0.0009,0.0305,0.0001,0.0246
1941-04-01,-0.0546,-0.0167,0.0341,-0.0001,0.030299999999999997
1941-05-01,0.0137,-0.0064,0.0060999999999999995,0.0,0.026099999999999998
1941-06-01,0.0583,0.0131,0.0060999999999999995,0.0,-0.0068000000000000005
1941-07-01,0.0587,0.0574,0.0724,0.0003,-0.0151
1941-08-01,-0.0017000000000000001,-0.0043,-0.011000000000000001,0.0001,0.0018
1941-09-01,-0.0088,-0.0098,-0.0027,0.0001,-0.0167
1941-10-01,-0.0526,-0.0207,0.0163,0.0,0.0482
1941-11-01,-0.0195,-0.0108,-0.006,0.0,0.0441
1941-12-01,-0.048799999999999996,-0.0286,-0.0594,0.0001,0.004
1942-01-01,0.0079,0.0745,0.10099999999999999,0.0002,-0.0363
1942-02-01,-0.0246,0.0174,-0.0115,0.0001,-0.0072
1942-03-01,-0.066,0.0187,-0.0060999999999999995,0.0001,-0.0026
1942-04-01,-0.0437,-0.0044,0.0209,0.0001,-0.0083
1942-05-01,0.0596,-0.032,-0.026699999999999998,0.0003,-0.04769999999999999
1942-06-01,0.0268,-0.0128,0.0043,0.0002,-0.0138
1942-07-01,0.0351,-0.0015,0.0241,0.0003,0.0079
1942-08-01,0.018000000000000002,-0.0004,0.013300000000000001,0.0003,-0.0008
1942-09-01,0.0262,0.0063,0.0239,0.0003,-0.0092
1942-10-01,0.0682,0.0169,0.0647,0.0003,-0.0441
1942-11-01,0.0013,-0.014199999999999999,-0.042300000000000004,0.0003,-0.010700000000000001
1942-12-01,0.051399999999999994,-0.0255,0.0055000000000000005,0.0003,0.030899999999999997
1943-01-01,0.0713,0.0877,0.0823,0.0003,-0.003
1943-02-01,0.0616,0.0484,0.0652,0.0003,-0.0163
1943-03-01,0.0603,0.0513,0.054900000000000004,0.0003,0.0472
1943-04-01,0.008100000000000001,0.0209,0.058600000000000006,0.0003,0.058600000000000006
1943-05-01,0.0575,0.0446,0.032799999999999996,0.0002,0.059000000000000004
1943-06-01,0.0182,-0.0098,-0.0075,0.0003,-0.0132
1943-07-01,-0.0478,-0.0231,-0.0223,0.0003,-0.0451
1943-08-01,0.013000000000000001,-0.0064,-0.004699999999999999,0.0003,0.009000000000000001
1943-09-01,0.024,0.013000000000000001,0.014199999999999999,0.0003,0.0173
1943-10-01,-0.0115,0.006,0.0168,0.0003,-0.0069
1943-11-01,-0.0593,-0.015700000000000002,-0.039900000000000005,0.0003,-0.0447
1943-12-01,0.0637,0.031,0.028999999999999998,0.0003,0.0592
1944-01-01,0.0174,0.026099999999999998,0.0229,0.0003,0.0075
1944-02-01,0.0037,-0.0008,0.0085,0.0003,0.0034000000000000002
1944-03-01,0.0246,0.0165,0.0335,0.0002,0.0262
